exp,trap,cup,start,start,start,start,end,end,end,end,time,depth,pc,pc,pn,pn,pp,pp,pic,psi,mass,mass,n15,n15
,,,month,day,year,hour,month,day,year,hour,,,mean,sd,mean,sd,mean,sd,,,mean,sd,mean,sd
#,#,#,,,,,,,,,(days),(m),mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,mg/m2/d,permil,permil
,,,,,,,,,,,,,,,,,,,,,,,,
2,3,17,7,1,1994,8,7,19,1994,13,18.2,2800,2.96,0.06,0.17,0,0.01339,0.00274,1.311,1.498,10.22,0.92,-9,-9
2,3,18,7,19,1994,13,8,6,1994,18,18.2,2800,1.9,0.02,0.14,0,0.0063,0.00037,1.129,0.945,6.4,0.56,-9,-9
2,4,1,9,13,1993,0,10,1,1993,5,18.2,4000,1.8,0.03,0.1,0.01,0.0111,0.00138,0.849,0.727,7.61,0.15,3.93,1.33
2,4,2,10,1,1993,5,10,19,1993,10,18.2,4000,2.14,0.02,0.11,0.01,0.01892,0.00083,1.212,0.86,9.45,0.6,2.81,0.3
2,4,3,10,19,1993,10,11,6,1993,15,18.2,4000,2.65,0.06,0.11,0.01,0.01679,0.00221,1.22,0.766,11.15,0.61,2.31,0.61
2,4,4,11,6,1993,15,11,24,1993,20,18.2,4000,1.77,0.06,0.08,0,0.01553,0.00006,0.829,0.608,8.6,0.01,3.02,0.19
2,4,5,11,24,1993,20,12,13,1993,1,18.2,4000,2.57,0.09,0.09,0,0.01282,0.00172,1.136,0.701,9.52,0.65,3.79,1.23
2,4,6,12,13,1993,1,12,31,1993,6,18.2,4000,2.46,0.01,0.09,0,0.00964,0.00093,0.912,0.611,10.48,0.63,3.5,0.1
2,4,7,12,31,1993,6,1,18,1994,11,18.2,4000,1.25,0.11,0.06,0.01,0.0085,0.00018,0.701,0.49,5.13,0.02,3.01,0.62
2,4,8,1,18,1994,11,2,5,1994,16,18.2,4000,1.92,0.01,0.12,0,0.00749,0.00077,0.943,0.875,9.83,0.66,2.63,1.1
2,4,9,2,5,1994,16,2,23,1994,21,18.2,4000,1.8,0.02,0.13,0,0.0155,0.00507,0.842,0.882,7.84,0.58,0.89,0.08
2,4,10,2,23,1994,21,3,14,1994,2,18.2,4000,2.02,0.07,0.14,0,0.00744,0.00234,1.02,1.037,8.38,0.67,1.76,0.2
2,4,11,3,14,1994,2,4,1,1994,7,18.2,4000,2.04,0.05,0.13,0.01,0.01214,0.00224,1.382,0.875,10.09,0.86,2.59,0.4
2,4,12,4,1,1994,7,4,19,1994,12,18.2,4000,2.72,0.02,0.14,0,0.01532,0.00043,1.777,1.017,9.93,0.08,1.59,0.15
2,4,13,4,19,1994,12,5,7,1994,17,18.2,4000,2.01,0.06,0.13,0.01,0.01381,0.00149,1.282,1.017,9.19,0.56,1.63,0.53
2,4,14,5,7,1994,17,5,25,1994,22,18.2,4000,2.54,0.09,0.16,0,0.01808,0.00124,1.192,1.194,10.82,0.07,2.07,0.57
2,4,15,5,25,1994,22,6,13,1994,3,18.2,4000,2.35,0.01,0.13,0,0.01886,0.00123,1.04,0.852,9.1,0.33,1.37,0.1
2,4,16,6,13,1994,3,7,1,1994,8,18.2,4000,2.38,0.02,0.15,0.02,0.01822,0.00057,1.329,0.968,7.98,0.2,1.98,0.51
2,4,17,7,1,1994,8,7,19,1994,13,18.2,4000,2.27,0.06,0.12,0,0.00821,0.00059,1.247,1.233,8.39,0.15,1.75,0.68
2,4,18,7,19,1994,13,8,6,1994,18,18.2,4000,3.46,0.03,0.21,0,0.01204,0.00135,1.413,1.638,11.01,0.29,0.63,0.14
2,4,19,8,6,1994,18,8,24,1994,23,18.2,4000,7.04,0.15,0.53,0.01,0.02876,0.00061,1.481,3.588,21.46,0.04,-0.07,0.83
2,4,20,8,24,1994,23,9,12,1994,4,18.2,4000,3.36,0.03,0.21,0.04,0.03363,0.00027,1.466,1.331,13.46,1.82,1.85,1.04
2,4,21,9,12,1994,4,9,30,1994,9,18.2,4000,1.88,0.02,0.1,0,0.01794,0.00091,1.062,0.848,8.24,0.56,2.1,0.16
3,4,1,5,10,1995,12,5,17,1995,18,7.25,4000,1.2,0.05,0.058,0.01,0.00307,-9,0.659,0.916,7.3,1.91,-9,-9
3,4,2,5,17,1995,18,5,25,1995,0,7.25,4000,1.19,0.08,0.063,0.007,0.00624,-9,0.618,0.733,7.39,1.75,-9,-9
3,4,3,5,25,1995,0,6,1,1995,6,7.25,4000,2.49,0.34,0.129,0.014,0.00873,-9,1.062,1.053,10.59,1.05,-9,-9
